Umur_bulan,Jenis_Kelamin,Tinggi_Minimal_cm
0,0,46.600000000000094
0,1,45.900000000000084
1,0,50.900000000000155
1,1,49.600000000000136
2,0,54.60000000000021
2,1,53.000000000000185
3,0,57.40000000000025
3,1,55.60000000000022
4,0,60.000000000000284
4,1,57.900000000000254
5,0,61.90000000000031
5,1,59.80000000000028
6,0,63.500000000000334
6,1,61.400000000000304
7,0,65.00000000000028
7,1,62.800000000000324
8,0,66.4000000000002
8,1,64.20000000000033
9,0,67.70000000000013
9,1,65.50000000000026
10,0,68.90000000000006
10,1,66.70000000000019
11,0,70.1
11,1,67.90000000000012
12,0,71.19999999999993
12,1,69.10000000000005
13,0,72.19999999999987
13,1,70.1
14,0,73.19999999999982
14,1,71.19999999999993
15,0,74.19999999999976
15,1,72.19999999999987
16,0,75.1999999999997
16,1,73.19999999999982
17,0,76.19999999999965
17,1,74.19999999999976
18,0,77.0999999999996
18,1,75.09999999999971
19,0,77.89999999999955
19,1,75.99999999999966
20,0,78.6999999999995
20,1,76.89999999999961
21,0,79.39999999999947
21,1,77.69999999999956
22,0,80.09999999999943
22,1,78.49999999999952
23,0,80.69999999999939
23,1,79.19999999999948
24,0,81.39999999999935
24,1,79.89999999999944
25,0,81.99999999999932
25,1,80.4999999999994
26,0,82.69999999999928
26,1,81.09999999999937
27,0,83.29999999999924
27,1,81.79999999999933
28,0,83.89999999999921
28,1,82.3999999999993
29,0,84.59999999999917
29,1,83.09999999999926
30,0,85.19999999999914
30,1,83.69999999999922
31,0,85.7999999999991
31,1,84.39999999999918
32,0,86.39999999999907
32,1,84.99999999999915
33,0,87.09999999999903
33,1,85.69999999999911
34,0,87.699999999999
34,1,86.29999999999907
35,0,88.19999999999897
35,1,86.89999999999904
36,0,88.79999999999893
36,1,87.499999999999
37,0,89.2999999999989
37,1,88.19999999999897
38,0,89.89999999999887
38,1,88.79999999999893
39,0,90.39999999999884
39,1,89.3999999999989
40,0,90.9999999999988
40,1,89.89999999999887
41,0,91.49999999999878
41,1,90.49999999999883
42,0,91.99999999999875
42,1,90.9999999999988
43,0,92.59999999999872
43,1,91.59999999999877
44,0,93.09999999999869
44,1,92.09999999999874
45,0,93.59999999999866
45,1,92.59999999999872
46,0,94.09999999999863
46,1,93.19999999999868
47,0,94.5999999999986
47,1,93.69999999999865
48,0,95.09999999999857
48,1,94.19999999999862
49,0,95.59999999999854
49,1,94.79999999999859
50,0,95.99999999999852
50,1,95.29999999999856
51,0,96.4999999999985
51,1,95.79999999999853
52,0,96.99999999999847
52,1,96.2999999999985
53,0,97.49999999999844
53,1,96.69999999999848
54,0,97.99999999999841
54,1,97.19999999999845
55,0,98.39999999999839
55,1,97.69999999999843
56,0,98.89999999999836
56,1,98.1999999999984
57,0,99.39999999999833
57,1,98.69999999999837
58,0,99.8999999999983
58,1,99.19999999999834
59,0,100.39999999999827
59,1,99.69999999999831
60,0,100.79999999999825
60,1,100.09999999999829
